subject,vowel,f1,f2,f3
alex,pip,280,2414,3723
alex,pop,424,853,2428
alex,pup,303,697,2818
alex,pap,859,1627,2981
alex,pɔp,694,1102,3915
alex,pEp,632,2171,3064
alexis,pip,271,2271,3319
alexis,pop,389,1004,2272
alexis,pɔp,496,1085,2295
alexis,pup,286,847,2460
alexis,pap,799,1663,2645
alexis,pEp,563,1900,2862
anne,pEp,640,1867,2753
anne,pip,246,2463,3527
anne,pop,365,658,2783
anne,pɔp,561,1063,2523
anne,pup,255,813,2535
anne,pap,715,1334,2490
annemarie,pEp,723,1860,2955
annemarie,pip,300,2602,3517
annemarie,pop,450,665,2413
annemarie,pɔp,719,1150,2987
annemarie,pup,324,760,2568
annemarie,pap,782,1488,2693
aurelie,pEp,730,2016,2815
aurelie,pip,298,2344,3541
aurelie,pop,493,1056,2674
aurelie,pup,306,844,2762
aurelie,pap,752,1558,2573
aurelie,pɔp,649,1338,2145
camille,pEp,527,2134,2943
camille,pip,243,2433,3523
camille,pop,474,936,2684
camille,pɔp,482,1019,2680
camille,pup,266,733,2476
camille,pap,757,1589,2904
chloe,pEp,565,2073,2907
chloe,pip,274,2408,3402
chloe,pop,390,1013,2762
chloe,pɔp,536,1316,2588
chloe,pup,312,736,2591
chloe,pap,719,1568,2622
clelia,pEp,685,2118,3009
clelia,pip,305,2313,3551
clelia,pop,462,687,2859
clelia,pɔp,782,1317,2866
clelia,pup,299,802,2701
clelia,pap,890,1625,2907
elodie,pEp,650,2015,2841
elodie,pip,310,1948,3329
elodie,pop,469,1094,2115
elodie,pɔp,529,1191,2146
elodie,pup,288,798,1948
elodie,pap,787,1684,2782
frenchmale,pip,240,2166,3306
frenchmale,pap,648,1272,2184
frenchmale,pEP,547,1806,2611
frenchmale,pop,377,811,2000
frenchmale,pup,290,772,2798
frenchmale,pɔp,480,1010,2329
frenchmale,pɑp,562,998,1845
iris,pEp,672,2046,2747
iris,pip,285,2602,3579
iris,pop,526,1127,2758
iris,pɔp,546,1009,2636
iris,pup,299,709,2646
lise,pEp,570,1841,2894
lise,pip,273,2181,3346
lise,pop,479,942,2438
lise,pOp,668,1361,2603
lise,pup,313,1152,2345
nono,pEp,730,2040,2936
nono,pip,301,2452,3331
nono,pop,463,1093,2824
nono,pɔp,513,991,2678
nono,pup,338,968,2830
nono,pap,863,1792,2762
stella,pEp,619,2055,2899
stella,pip,342,2758,3419
stella,pop,516,1029,3143
stella,pɔp,722,1314,3222
stella,pup,371,764,3130
stella,pap,796,1530,3073
pɔp,554,942,2417
pip,336,2301,3610
