limit,timepoint,pitch,measured_b1,measured_b2,realb1,realb2
5500,0.03,100,33,59,60,80
5500,0.06,100,30,55,60,80
5500,0.09,100,32,56,60,80
5500,0.12,100,33,58,60,80
5500,0.15,100,34,60,60,80
5500,0.18,100,33,59,60,80
5500,0.21,100,32,58,60,80
5500,0.24,100,30,54,60,80
5500,0.27,100,33,59,60,80
5500,0.3,100,35,62,60,80
5400,0.03,100,33,60,60,80
5400,0.06,100,36,63,60,80
5400,0.09,100,36,64,60,80
5400,0.12,100,40,298,60,80
5400,0.15,100,30,55,60,80
5400,0.18,100,31,56,60,80
5400,0.21,100,33,60,60,80
5400,0.24,100,34,61,60,80
5400,0.27,100,32,58,60,80
5400,0.3,100,29,54,60,80
5300,0.03,100,31,58,60,80
5300,0.06,100,34,61,60,80
5300,0.09,100,34,62,60,80
5300,0.12,100,32,59,60,80
5300,0.15,100,30,55,60,80
5300,0.18,100,32,59,60,80
5300,0.21,100,35,64,60,80
5300,0.24,100,36,65,60,80
5300,0.27,100,33,61,60,80
5300,0.3,100,34,62,60,80
5200,0.03,100,32,59,60,80
5200,0.06,100,37,67,60,80
5200,0.09,100,34,64,60,80
5200,0.12,100,32,61,60,80
5200,0.15,100,30,57,60,80
5200,0.18,100,39,67,60,80
5200,0.21,100,34,63,60,80
5200,0.24,100,34,64,60,80
5200,0.27,100,32,61,60,80
5200,0.3,100,30,57,60,80
5100,0.03,100,33,62,60,80
5100,0.06,100,34,64,60,80
5100,0.09,100,34,65,60,80
5100,0.12,100,32,63,60,80
5100,0.15,100,32,60,60,80
5100,0.18,100,34,63,60,80
5100,0.21,100,34,64,60,80
5100,0.24,100,34,65,60,80
5100,0.27,100,32,63,60,80
5100,0.3,100,30,58,60,80
5500,0.03,110,72,63,60,80
5500,0.06,110,72,61,60,80
5500,0.09,110,81,992,60,80
5500,0.12,110,70,59,60,80
5500,0.15,110,64,55,60,80
5500,0.18,110,69,59,60,80
5500,0.21,110,67,58,60,80
5500,0.24,110,70,59,60,80
5500,0.27,110,64,56,60,80
5500,0.3,110,68,59,60,80
5400,0.03,110,71,61,60,80
5400,0.06,110,71,63,60,80
5400,0.09,110,90,478,60,80
5400,0.12,110,82,921,60,80
5400,0.15,110,72,62,60,80
5400,0.18,110,63,56,60,80
5400,0.21,110,69,59,60,80
5400,0.24,110,64,56,60,80
5400,0.27,110,69,60,60,80
5400,0.3,110,62,55,60,80
5300,0.03,110,70,61,60,80
5300,0.06,110,64,57,60,80
5300,0.09,110,69,60,60,80
5300,0.12,110,64,57,60,80
5300,0.15,110,75,65,60,80
5300,0.18,110,76,68,60,80
5300,0.21,110,98,864,60,80
5300,0.24,110,72,64,60,80
5300,0.27,110,71,62,60,80
5300,0.3,110,62,56,60,80
5200,0.03,110,71,62,60,80
5200,0.06,110,80,667,60,80
5200,0.09,110,71,64,60,80
5200,0.12,110,64,58,60,80
5200,0.15,110,72,64,60,80
5200,0.18,110,70,64,60,80
5200,0.21,110,75,66,60,80
5200,0.24,110,64,59,60,80
5200,0.27,110,70,62,60,80
5200,0.3,110,63,58,60,80
5100,0.03,110,91,80,60,80
5100,0.06,110,66,61,60,80
5100,0.09,110,70,64,60,80
5100,0.12,110,65,60,60,80
5100,0.15,110,75,67,60,80
5100,0.18,110,87,964,60,80
5100,0.21,110,72,65,60,80
5100,0.24,110,65,60,60,80
5100,0.27,110,70,64,60,80
