subject,phoneme,mean,median,min,max,group
amelieDB,global,220,221,76,260,cncn
amelieDB,i,202,218,94,221,cncn
amelieDB,i,218,222,200,226,cncn
amelieDB,i,230,226,224,245,cncn
amelieDB,ɤ,226,226,215,243,cncn
amelieDB,ɤ,223,224,204,235,cncn
amelieDB,ɤ,224,217,210,251,cncn
amelieDB,ei,213,210,205,226,cncn
amelieDB,ei,217,218,206,227,cncn
amelieDB,ei,215,214,210,224,cncn
amelieDB,a,205,206,200,209,cncn
amelieDB,a,208,207,202,223,cncn
amelieDB,a,211,208,200,235,cncn
amelieDB,u,223,228,203,233,cncn
amelieDB,u,219,220,205,228,cncn
amelieDB,u,224,222,213,239,cncn
amelieDB,ou,226,225,217,238,cncn
amelieDB,ou,221,220,214,231,cncn
amelieDB,ou,222,216,210,260,cncn
amelieDB,ycn,232,233,225,234,cncn
amelieDB,ycn,233,234,225,235,cncn
amelieDB,ycn,239,239,230,255,cncn
amelieLP,global,213,213,100,264,cncn
amelieLP,i,218,218,208,230,cncn
amelieLP,i,103,104,101,105,cncn
amelieLP,i,205,204,201,211,cncn
amelieLP,ɤ,210,208,204,232,cncn
amelieLP,ɤ,208,207,203,221,cncn
amelieLP,ɤ,208,208,205,214,cncn
amelieLP,ei,227,227,217,240,cncn
amelieLP,ei,214,212,210,223,cncn
amelieLP,ei,209,209,205,213,cncn
amelieLP,a,210,208,206,229,cncn
amelieLP,a,202,202,201,210,cncn
amelieLP,a,204,205,198,211,cncn
amelieLP,u,219,218,211,226,cncn
amelieLP,u,212,212,203,225,cncn
amelieLP,u,207,207,200,212,cncn
amelieLP,ou,220,222,201,238,cncn
amelieLP,ou,235,234,224,257,cncn
amelieLP,ou,227,225,219,249,cncn
amelieLP,ycn,242,242,230,247,cncn
amelieLP,ycn,231,232,221,234,cncn
amelieLP,ycn,229,229,220,231,cncn
chengyuan,global,243,242,228,279,cncn
chengyuan,i,246,246,242,273,cncn
chengyuan,i,245,245,242,258,cncn
chengyuan,i,244,243,241,256,cncn
chengyuan,ɤ,242,241,239,253,cncn
chengyuan,ɤ,242,241,239,256,cncn
chengyuan,ɤ,242,241,238,256,cncn
chengyuan,ei,241,241,232,246,cncn
chengyuan,ei,241,241,234,246,cncn
chengyuan,ei,241,240,228,253,cncn
chengyuan,a,240,238,235,250,cncn
chengyuan,a,241,240,237,261,cncn
chengyuan,a,240,240,237,255,cncn
chengyuan,u,243,243,240,252,cncn
chengyuan,u,241,241,237,247,cncn
chengyuan,u,242,242,240,248,cncn
chengyuan,ou,240,240,237,246,cncn
