subject,phoneme,mean,median,min,max,group
amelieDB,global,198,200,75,282,cnfr
amelieDB,eu,208,212,179,229,cnfr
amelieDB,eu,199,202,171,231,cnfr
amelieDB,eu,194,197,170,223,cnfr
amelieDB,a,202,204,165,245,cnfr
amelieDB,a,191,191,162,223,cnfr
amelieDB,a,184,185,159,214,cnfr
amelieDB,e,202,206,165,237,cnfr
amelieDB,e,194,196,164,226,cnfr
amelieDB,e,191,194,164,224,cnfr
amelieDB,E,213,216,172,241,cnfr
amelieDB,E,204,209,169,224,cnfr
amelieDB,E,195,203,154,221,cnfr
amelieDB,i,203,208,166,232,cnfr
amelieDB,i,201,207,174,218,cnfr
amelieDB,i,198,202,161,224,cnfr
amelieDB,u,222,227,188,231,cnfr
amelieDB,u,207,215,164,226,cnfr
amelieDB,u,200,211,161,224,cnfr
amelieDB,y,202,204,189,211,cnfr
amelieDB,y,208,212,178,228,cnfr
amelieDB,y,191,198,152,212,cnfr
amelieDB,o,212,218,179,241,cnfr
amelieDB,o,204,211,174,221,cnfr
amelieDB,o,208,214,175,230,cnfr
amelieDB,O,211,219,168,229,cnfr
amelieDB,O,204,212,156,235,cnfr
amelieDB,O,203,207,168,223,cnfr
amelieDB,oe,198,194,173,229,cnfr
amelieDB,oe,203,206,180,234,cnfr
amelieDB,oe,198,205,160,231,cnfr
amelieLP,global,194,197,83,248,cnfr
amelieLP,eu,187,188,167,208,cnfr
amelieLP,eu,194,196,166,218,cnfr
amelieLP,eu,185,186,164,204,cnfr
amelieLP,a,180,178,160,203,cnfr
amelieLP,a,185,186,166,199,cnfr
amelieLP,a,180,180,163,194,cnfr
amelieLP,e,186,186,166,204,cnfr
amelieLP,e,188,188,166,205,cnfr
amelieLP,e,184,185,167,195,cnfr
amelieLP,E,195,198,172,221,cnfr
amelieLP,E,195,199,176,212,cnfr
amelieLP,E,186,189,168,210,cnfr
amelieLP,i,197,199,172,220,cnfr
amelieLP,i,197,197,175,211,cnfr
amelieLP,i,189,193,165,204,cnfr
amelieLP,u,224,225,217,229,cnfr
amelieLP,u,219,219,215,221,cnfr
amelieLP,u,218,218,213,219,cnfr
amelieLP,y,216,216,190,237,cnfr
amelieLP,y,212,213,198,228,cnfr
amelieLP,y,206,206,196,219,cnfr
amelieLP,o,197,198,177,211,cnfr
amelieLP,o,199,201,185,211,cnfr
amelieLP,o,197,197,185,207,cnfr
amelieLP,O,197,199,169,219,cnfr
amelieLP,O,195,195,171,215,cnfr
amelieLP,O,186,189,169,200,cnfr
amelieLP,oe,200,201,182,219,cnfr
amelieLP,oe,200,201,183,213,cnfr
amelieLP,oe,192,193,176,207,cnfr
chengyuan,global,254,257,79,399,cnfr
chengyuan,eu,261,261,250,272,cnfr
chengyuan,eu,262,264,247,274,cnfr
chengyuan,eu,260,259,244,270,cnfr
chengyuan,a,261,259,258,273,cnfr
chengyuan,a,261,262,256,268,cnfr
chengyuan,a,261,259,257,270,cnfr
